ἔρρωσθε	ῥώννυμι	VB	person=PERSON_2|number=PLURAL|tense=PERF|mood=IMPERATIVE	
G			_	
G			_	
οὐκ	οὐ	ADV	_	
ἔγραψας	γράφω	VB	person=PERSON_2|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
φάσιν	φάσιςNN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
ὅτι	ὅτιCONJ	_	
ἔλαβα	λαμβάνω	VB	person=PERSON_1|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
αὐτὰ	αὐτός	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
ἢ	ἤCONJ	_	
οὐκ	οὐ	ADV	_	
ἔλαβα	λαμβάνω	VB	person=PERSON_1|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
γράψον	γράφω	VB	person=PERSON_2|number=SINGULAR|mood=IMPERATIVE|voice=ACTIVE	
μοι	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=DATIVE	
τὴν	ὁ		number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
φάσιν	φάσιςNN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
ὅτι	ὅτιCONJ	_	
ἔλαβα	λαμβάνω	VB	person=PERSON_1|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
ἢ	ἤCONJ	_	
οὐκ	οὐ	ADV	_	
ἔλαβα	λαμβάνω	VB	person=PERSON_1|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
