τί	τίς	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
πρὸς	πρός	PREP	_	
τάδ̓	ὅδε	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
εἰπεῖν	εἶπον	VB	mood=INFINITIVE|voice=ACTIVE	
ὦ	ὦ		_	
ξέν̓	ξένος	ADJ	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
ἐν	ἐν	PREP	_	
μέρει	μέρος	NN	number=SINGULAR|gender=NEUTER|case=DATIVE	
θέλεις	ἐθέλω	VB	person=PERSON_2|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
ἄλγησον	ἀλγέω	VB	person=PERSON_2|number=SINGULAR|mood=IMPERATIVE|voice=ACTIVE	
ἧπαρ	ἧπαρ	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ἐνδίκοις	ἔνδικος	ADJ	number=PLURAL|gender=NEUTER|case=DATIVE	
ὀνείδεσιν	ὄνειδος	NN	number=PLURAL|gender=NEUTER|case=DATIVE	
ἀνδροκτονοῦσα	ἀνδροκτονέω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=FEMININE|case=NOMINATIVE	
πατέῤ	πατήρ	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
ἐμὸν	ἐμός	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
κατέκτανεν	κατακτείνω	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
ἰὼ	ἰώ		_	
θεοὶ	θεός	NN	number=PLURAL|gender=MASCULINE|case=VOCATIVE	
νεώτεροι	νέος	ADJ	number=PLURAL|gender=MASCULINE|case=VOCATIVE|degree=COMPARATIVE	
παλαιοὺς	παλαιός	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
νόμους	νόμος	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
καθιππάσασθε	καθιππάζομαι	VB	person=PERSON_2|number=PLURAL|mood=INDICATIVE	
κἀκ	ἐκ	PREP	_	
χερῶν	χείρ	NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
εἵλεσθέ	αἱρέω	VB	person=PERSON_2|number=PLURAL|mood=INDICATIVE	
μου	ἐγώ	PRON	number=SINGULAR|gender=FEMININE|case=GENITIVE	
πληρουμένου	πληρόω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=NEUTER|case=GENITIVE	
γὰρ	γάρ		_	
τοῦδε	ὅδε	PRON	number=SINGULAR|gender=NEUTER|case=GENITIVE	
βουλευτηρίου	βουλευτήριον	NN	number=SINGULAR|gender=NEUTER|case=GENITIVE	
σιγᾶν	σιγάζω	VB	tense=FUTURE|mood=INFINITIVE|voice=ACTIVE	
