1	Ἑρμῆ	Ἑρμῆς	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
2	χθόνιε	χθόνιος	ADJ	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
3	πατρῷ̓	πατρῷος	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
4	ἐποπτεύων	ἐποπτεύω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
5	κράτη	κράτος	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
6	σωτὴρ	σωτήρ	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
7	γενοῦ	γίγνομαι	VB	person=PERSON_2|number=SINGULAR|mood=IMPERATIVE	
8	μοι	ἐγώ	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
9	ξύμμαχός	σύμμαχος	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
10	τ̓	τε		_	
11	αἰτουμένῳ	αἰτέω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=DATIVE	
1	ἥκω	ἥκω	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
2	γὰρ	γάρ		_	
3	ἐς	εἰς	PREP	_	
4	γῆν	γῆ	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
5	τήνδε	ὅδε	PRON	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
6	καὶ	καί	CONJ	_	
7	κατέρχομαι	κατέρχομαι	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE	
1	τύμβου	τύμβος	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
2	δ̓	δέ		_	
3	ἐπ̓	ἐπί	PREP	_	
4	ὄχθῳ	ὄχθος	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
5	τῷδε	ὅδε	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
6	κηρύσσω	κηρύσσω	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
7	πατρὶ	πατήρ	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
8	κλύειν	κλύω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
9	ἀκοῦσαι	ἀκούω	VB	mood=INFINITIVE|voice=ACTIVE	
10	πλόκαμον	πλόκαμος	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
11	Ἰνάχῳ	Ἴναχος	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
12	θρεπτήριον	θρεπτήριος	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
1	τὸν	ὁ		number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
2	δεύτερον	δεύτερος	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
3	δὲ	δέ		_	
4	τόνδε	ὅδε	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
5	πενθητήριον	πενθητήριος	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
1	οὐ	οὐ	ADV	_	
2	γὰρ	γάρ		_	
3	παρὼν	πάρειμι	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
4	ᾤμωξα	οἰμώζω	VB	person=PERSON_1|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
5	σόν	σός	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
6	πάτερ	πατήρ	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
7	μόρον	μόρος	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
8	οὐ	οὐδέ		_	
