1	εἰ	εἰ	CONJ	_	
2	μὲν	μέν	ADV	_	
3	περὶ	περί	PREP	_	
4	καινοῦ	καινός	ADJ	number=SINGULAR|gender=NEUTER|case=GENITIVE	
5	τινος	τις	ADJ	number=SINGULAR|gender=NEUTER|case=GENITIVE	
6	πράγματος	πρᾶγμα	NN	number=SINGULAR|gender=NEUTER|case=GENITIVE	
7	προυτίθετʼ	προτίθημι	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE	
8	ὦ	ὦ		_	
9	ἄνδρες	ἀνήρ	NN	number=PLURAL|gender=MASCULINE|case=VOCATIVE	
10	Ἀθηναῖοι	Ἀθηναῖος	NN	number=PLURAL|gender=MASCULINE|case=VOCATIVE	
11	λέγειν	λέγω3	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
12	ἐπισχὼν	ἐπέχω	VB	number=SINGULAR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
13	ἂν	ἄν1	ADV	_	
14	ἕως	ἕως	CONJ	_	
15	οἱ	ὁ		number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
16	πλεῖστοι	πλεῖστος	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
17	τῶν	ὁ		number=PLURAL|gender=MASCULINE|case=GENITIVE	
18	εἰωθότων	ἔθω	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
19	γνώμην	γνώμη	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
20	ἀπεφήναντο	ἀποφαίνω	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE	
21	εἰ	εἰ	CONJ	_	
22	μὲν	μέν	ADV	_	
23	ἤρεσκέ	ἀρέσκω	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
24	τί	τις	PRON	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
25	μοι	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=DATIVE	
26	τῶν	ὁ		number=PLURAL|gender=NEUTER|case=GENITIVE	
27	ὑπὸ	ὑπό	PREP	_	
28	τούτων	οὗτος	PRON	number=PLURAL|gender=MASCULINE|case=GENITIVE	
29	ῥηθέντων	ἐρῶ	VB	number=PLURAL|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=GENITIVE	
30	ἡσυχίαν	ἡσυχία	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
31	ἂν	ἄν1	ADV	_	
32	ἦγον	ἄγω	VB	person=PERSON_1|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
33	εἰ	εἰ	CONJ	_	
34	δὲ	δέ	CONJ	_	
35	μή	μή	ADV	_	
36	τότʼ	τότε	ADV	_	
37	ἂν	ἄν1	ADV	_	
38	κ-	καί	ADV	_	
39	αὐτὸς	αὐτός	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
40	ἐπειρώμην	πειράω	VB	person=PERSON_1|number=SINGULAR|tense=IMP|mood=INDICATIVE	
41	ἃ	ὁ		number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
42	γιγνώσκω	γιγνώσκω	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=SUBJUNCTIVE|voice=ACTIVE	
43	λέγειν	λέγω1	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
44	ἤρεσκέ	ἀρέσκω	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
1	ἐπειδὴ	ἐπεί	CONJ	_	
2	δʼ	δέ	ADV	_	
3	ὑπὲρ	ὑπέρ	PREP	_	
4	ὧν	ὅς	PRON	number=PLURAL|gender=NEUTER|case=GENITIVE	
5	πολλάκις	πολλάκις	ADV	_	
6	εἰρήκασιν	ἐρῶ	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
7	οὗτοι	οὗτος	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
8	πρότερον	πρότερος	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
9	συμβαίνει	συμβαίνω	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
10	καὶ	καί	ADV	_	
11	νυνὶ	νυνί	ADV	_	
12	σκοπεῖν	σκοπέω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
13	ἡγοῦμαι	ἡγέομαι	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE	
14	καὶ	καί	ADV	_	
15	πρῶτος	πρότερος	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
16	ἀναστὰς	ἀνίστημι	VB	number=SINGULAR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
17	εἰκότως	ἐοικότως	ADV	_	
18	ἂν	ἄν1	ADV	_	
19	συγγνώμης	συγγνώμη	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
20	τυγχάνειν	τυγχάνω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
1	εἰ	εἰ	CONJ	_	
2	γὰρ	γάρ	ADV	_	
3	ἐκ	ἐκ	PREP	_	
4	τοῦ	ὁ		number=SINGULAR|gender=MASCULINE|case=GENITIVE	
5	παρεληλυθότος	παρέρχομαι	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
6	χρόνου	χρόνος	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
7	τὰ	ὁ		number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
8	δέονθʼ	δέον	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
9	οὗτοι	οὗτος	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
10	συνεβούλευσαν	συμβουλεύω	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
11	οὐδὲν	οὐδείς	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
12	ἂν	ἄν1	ADV	_	
13	ὑμᾶς	σύ	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
14	νῦν	νῦν	ADV	_	
15	ἔδει	δεῖ	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
16	βουλεύεσθαι	βουλεύω	VB	tense=PR|mood=INFINITIVE	
1	πρῶτον	πρῶτος	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
2	μὲν	μέν	ADV	_	
3	οὖν	οὖν	ADV	_	
4	οὐκ	οὐ	ADV	_	
5	ἀθυμητέον	ἀθυμητέον	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
6	ὦ	ὦ		_	
